,querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count
55,Infinix hot 10,Flipkart,"Infinix Hot 9 (Violet, 64 GB)",11999.0,4.4,112250.0,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/m/b/z/infinix-hot-9-x655d-original-imafqgr9j7gh32zq.jpeg?q=70,/infinix-hot-9-violet-64-gb/p/itm9d816e65b5dc4?pid=MOBFQ3DPMQHHTMBZ&lid=LSTMOBFQ3DPMQHHTMBZTNJSFM&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_80&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBFQ3DPMQHHTMBZ.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"7,979"
38,Infinix hot 10,Flipkart,"Infinix Hot 10S (Heart Of Ocean, 64 GB)",10999.0,4.3,50865.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/v/u/i/hot-10s-x689-64-4-infinix-original-imag4fk5rzthabhs.jpeg?q=70,/infinix-hot-10s-heart-ocean-64-gb/p/itm3a70709f4ec55?pid=MOBG2T89RGKYRYZY&lid=LSTMOBG2T89RGKYRYZYOAVOUE&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_63&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89RGKYRYZY.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"4,697"
49,Infinix hot 10,Flipkart,"Infinix Hot 11S (Green Wave, 64 GB)",10999.0,4.3,50301.0,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/j/6/n/hot-11s-x6812-64-4-infinix-original-imag6xq7na4n2wrr.jpeg?q=70,/infinix-hot-11s-green-wave-64-gb/p/itmb8753dc90027c?pid=MOBG6HS6ANXFQKGS&lid=LSTMOBG6HS6ANXFQKGSWH33JJ&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_74&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBG6HS6ANXFQKGS.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"5,311"
48,Infinix hot 10,Flipkart,"Infinix Hot 11S (7° Purple, 64 GB)",10999.0,4.3,50301.0,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/m/z/v/hot-11s-x6812-64-4-infinix-original-imag6xq7mmztsttp.jpeg?q=70,/infinix-hot-11s-7-purple-64-gb/p/itmb8753dc90027c?pid=MOBG6HS6ERHZAYWZ&lid=LSTMOBG6HS6ERHZAYWZQ01EUK&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_73&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBG6HS6ERHZAYWZ.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"5,311"
37,Infinix hot 10,Flipkart,"Infinix Hot 10S (Morandi Green, 64 GB)",10999.0,4.3,50865.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/0/5/v/hot-10s-x689-64-4-infinix-original-imag4fk5fgqujb8a.jpeg?q=70,/infinix-hot-10s-morandi-green-64-gb/p/itm3a70709f4ec55?pid=MOBG2T89QHRAWAYX&lid=LSTMOBG2T89QHRAWAYXBKPLGX&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_62&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89QHRAWAYX.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"4,697"
43,Infinix hot 10,Flipkart,"Infinix Hot 11S (Silver Wave, 64 GB)",10999.0,4.3,50301.0,https://rukminim1.flixcart.com/image/312/312/kyag87k0/mobile/y/j/o/-original-imagajyzdzjfukft.jpeg?q=70,/infinix-hot-11s-silver-wave-64-gb/p/itm89f2c3f6ece7e?pid=MOBGAJW6UHB58GJN&lid=LSTMOBGAJW6UHB58GJNDZUXMX&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_68&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBGAJW6UHB58GJN.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"5,311"
42,Infinix hot 10,Flipkart,"Infinix Hot 10S (95° Black, 64 GB)",10999.0,4.3,50865.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/h/l/d/hot-10s-x689-64-4-infinix-original-imag4fk5ajmdtwz4.jpeg?q=70,/infinix-hot-10s-95-black-64-gb/p/itm3a70709f4ec55?pid=MOBG2T89RJKSVZBG&lid=LSTMOBG2T89RJKSVZBGHLYDPL&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_67&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89RJKSVZBG.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"4,697"
56,Infinix hot 10,Flipkart,"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",10999.0,4.4,86387.0,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/y/k/j/infinix-hot-9-pro-x655f-original-imafqgr9skhczn7y.jpeg?q=70,/infinix-hot-9-pro-ocean-wave-64-gb/p/itm1bc9e9eef4559?pid=MOBFQ3DPHDM5RYKJ&lid=LSTMOBFQ3DPHDM5RYKJIF7Q7P&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_81&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBFQ3DPHDM5RYKJ.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"7,343"
24,Infinix hot 10,Flipkart,"Infinix Hot 9 Pro (Violet, 64 GB)",10999.0,4.4,86387.0,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/3/s/p/infinix-hot-9-pro-x655f-original-imafqgr9hfgvyn6k.jpeg?q=70,/infinix-hot-9-pro-violet-64-gb/p/itm1bc9e9eef4559?pid=MOBFQ3DPGYFSJ3SP&lid=LSTMOBFQ3DPGYFSJ3SPQ0HUL6&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_49&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBFQ3DPGYFSJ3SP.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"7,343"
41,Infinix hot 10,Flipkart,"Infinix Hot S3X (Milan Black, 32 GB)",10999.0,4.2,17554.0,https://rukminim1.flixcart.com/image/312/312/ju2z6a80/mobile/w/3/w/infinix-hot-s3x-x622-original-imaffaceg6x48n4f.jpeg?q=70,/infinix-hot-s3x-milan-black-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QYJDGYW3W&lid=LSTMOBF9V6QYJDGYW3WUF6NPL&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_66&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBF9V6QYJDGYW3W.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"2,583"
